Date,Last,diff_24h,diff_per_24h,Open,High,Low,Close,Volume
2019/5/6,5795.71 ,-48.9,-0.843727516,5791.69,5802.96,5653.69,5746.81,15737171804
2019/5/7,5746.81 ,82.69,1.438885225,5745.6,5988.18,5741.4,5829.5,18026409033
2019/5/8,5829.50 ,152.96,2.623895703,5849.48,5989.98,5794.72,5982.46,15320605300
2019/5/9,5982.46 ,192.07,3.210552181,5982.32,6183.04,5982.32,6174.53,16784645411
2019/5/10,6174.53 ,204.32,3.309077776,6175.82,6434.62,6161.52,6378.85,19419875368
2019/5/11,6378.85 ,825.92,12.94778839,6379.67,7333,6375.7,7204.77,28867562329
2019/5/12,7204.77 ,-232.4,-3.225640791,7203.51,7503.87,6815.77,6972.37,27773333680
2019/5/13,6972.37 ,842.55,12.08412634,6971.18,8047.41,6898.28,7814.92,28677672181
2019/5/14,7814.92 ,179.5,2.296888516,7807.88,8268.71,7696.39,7994.42,32031452227
2019/5/15,7994.42 ,210.75,2.636213759,7989.37,8216.42,7899.11,8205.17,28344112920
2019/5/16,8205.17 ,-320.26,-3.903148868,8194.5,8320.82,7729.61,7884.91,33167197581
2019/5/17,7884.91 ,-541.01,-6.861333864,7886.93,7929.15,7038.12,7343.9,30066644905
2019/5/18,7343.90 ,-72.69,-0.989801059,7341.66,7447.27,7251.5,7271.21,21354286562
2019/5/19,7271.21 ,926.48,12.74175825,7267.96,8261.94,7267.96,8197.69,25902422040
2019/5/20,8197.69 ,-219.38,-2.676119736,8196.92,8200.97,7678.78,7978.31,23843404340
2019/5/21,7978.31 ,-14.98,-0.187759062,7977.97,8062.17,7843.34,7963.33,25127245056
2019/5/22,7963.33 ,-283.26,-3.557054649,7956.29,7997.61,7615.99,7680.07,24719473175
2019/5/23,7680.07 ,201.78,2.627319803,7677.27,7943.79,7533.2,7881.85,24457107820
2019/5/24,7881.85 ,105.52,1.338771989,7881.7,8140.72,7824.45,7987.37,25919126991
2019/5/25,7987.37 ,65.17,0.815913123,7991.89,8117.93,7965.98,8052.54,22256813107
2019/5/26,8052.54 ,620.68,7.707878508,8055.21,8687.52,7924.67,8673.22,26677970091
2019/5/27,8673.22 ,132.56,1.528382769,8674.07,8907.17,8668.7,8805.78,27949839564
2019/5/28,8805.78 ,-85.82,-0.974587146,8802.76,8807.02,8634.72,8719.96,24226919267
2019/5/29,8719.96 ,-60.47,-0.693466484,8718.59,8755.85,8482.73,8659.49,23473479966
2019/5/30,8659.49 ,-340.02,-3.926559185,8661.76,9008.31,8221.27,8319.47,29246528551
2019/5/31,8319.47 ,255.03,3.065459699,8320.29,8586.66,8172.55,8574.5,25365190957
2019/6/1,8574.50 ,-10.48,-0.12222287,8573.84,8625.6,8481.58,8564.02,22488303544
2019/6/2,8564.02 ,178.94,2.089439305,8565.47,8809.3,8561.24,8742.96,20266216022
2019/6/3,8742.96 ,-533.97,-6.107428148,8741.75,8743.5,8204.19,8208.99,22004511436
2019/6/4,8208.99 ,-501.22,-6.105745043,8210.99,8210.99,7564.49,7707.77,24609731549
2019/6/5,7707.77 ,116.46,1.510942854,7704.34,7901.85,7668.67,7824.23,21760923463
2019/6/6,7824.23 ,-2.21,-0.028245591,7819.63,7937.34,7571.47,7822.02,19474611077
2019/6/7,7822.02 ,221.93,2.837246645,7826.9,8126.15,7788.37,8043.95,19141423231
2019/6/8,8043.95 ,-89.82,-1.116615593,8036.77,8076.89,7837.61,7954.13,16522722810
2019/6/9,7954.13 ,-266.05,-3.344803266,7949.67,7975.97,7583.22,7688.08,16610726547
2019/6/10,7688.08 ,312.25,4.061482191,7692.28,8031.91,7586.73,8000.33,18689275117
2019/6/11,8000.33 ,-72.62,-0.907712557,8004.24,8026.39,7772.8,7927.71,17107279932
2019/6/12,7927.71 ,218.15,2.751740414,7925.43,8196.65,7862.36,8145.86,19034432883
2019/6/13,8145.86 ,85.06,1.044211415,8145.55,8311.57,8087.06,8230.92,18669407147
2019/6/14,8230.92 ,462.91,5.624037167,8230.9,8710.64,8183.39,8693.83,19831162906
2019/6/15,8693.83 ,144.55,1.662673413,8689.75,8859.13,8618.4,8838.38,18371033226
2019/6/16,8838.38 ,156.11,1.76627391,8841.44,9335.87,8814.56,8994.49,23348550311
2019/6/17,8994.49 ,325.86,3.622884677,8988.92,9416.41,8988.92,9320.35,15562951919
2019/6/18,9320.35 ,-238.59,-2.559882408,9335.47,9348.37,9004.9,9081.76,15848210536
2019/6/19,9081.76 ,191.76,2.111484999,9078.73,9299.62,9070.4,9273.52,15546809946
2019/6/20,9273.52 ,253.64,2.735099509,9273.06,9594.42,9232.48,9527.16,17846823784
2019/6/21,9527.16 ,617.4,6.480420188,9525.07,10144.56,9525.07,10144.56,20624008643
2019/6/22,10144.56 ,557.13,5.491908964,10175.92,11157.35,10107.04,10701.69,29995204861
2019/6/23,10701.69 ,153.68,1.436034869,10696.69,11246.14,10556.1,10855.37,20998326502
2019/6/24,10855.37 ,155.73,1.434589517,10853.74,11065.9,10610.43,11011.1,19271652365
2019/6/25,11011.10 ,779.82,7.082126218,11007.2,11790.92,11007.2,11790.92,24879684533
2019/6/26,11790.92 ,1225.31,10.39197959,11778.58,13796.49,11755.6,13016.23,45105733173
2019/6/27,13016.23 ,-1833.42,-14.08564538,13017.12,13311.14,10491.85,11182.81,39977475223
2019/6/28,11182.81 ,1224.52,10.95002061,11162.17,12445.18,10914.49,12407.33,35087757766
2019/6/29,12407.33 ,-447.96,-3.610446405,12400.76,12400.91,11508.38,11959.37,29923961128
2019/6/30,11959.37 ,-1142.21,-9.550753928,11931.99,12178.38,10799.01,10817.16,27256473494
2019/7/1,10817.16 ,-234.03,-2.163506872,10796.93,11206.44,10089.31,10583.13,29378589324
2019/7/2,10583.13 ,218.55,2.065079046,10588.68,10912.19,9737.88,10801.68,31015895223
2019/7/3,10801.68 ,1159.59,10.73527451,10818.16,11968.08,10818.16,11961.27,30796494294
2019/7/4,11961.27 ,-745.83,-6.235374672,11972.72,12006.08,11166.57,11215.44,25920294033
2019/7/5,11215.44 ,-236.98,-2.112979963,11203.1,11395.66,10874.96,10978.46,23838480210
2019/7/6,10978.46 ,230.09,2.095831291,10982.54,11620.97,10982.54,11208.55,21092024306
2019/7/7,11208.55 ,242.3,2.161742598,11217.62,11541.62,11148.8,11450.85,19369044277
2019/7/8,11450.85 ,835.11,7.292995716,11446.6,12345.83,11393.37,12285.96,23482551458
2019/7/9,12285.96 ,287.85,2.342918258,12284.33,12779.13,12233.26,12573.81,28167921523
2019/7/10,12573.81 ,-417.3,-3.318803131,12571.54,13129.53,11710.98,12156.51,33627574244
2019/7/11,12156.51 ,-797.85,-6.563150115,12139.71,12144.62,11158.92,11358.66,28595327690
2019/7/12,11358.66 ,457.33,4.026267183,11354.3,11905.49,11179.14,11815.99,23534692797
2019/7/13,11815.99 ,-423.61,-3.585057198,11813.13,11841.96,10908.48,11392.38,21042616384
2019/7/14,11392.38 ,-1136.32,-9.974386388,11381.02,11451.2,10234.58,10256.06,22486000001
2019/7/15,10256.06 ,639.03,6.23075528,10257.84,11052.77,9992.01,10895.09,25384047207
2019/7/16,10895.09 ,-1417.45,-13.0099889,10896.65,10996.63,9448.11,9477.64,24151199070
2019/7/17,9477.64 ,216.16,2.280736555,9471.21,9963.13,9163.13,9693.8,24569921549
2019/7/18,9693.80 ,972.68,10.03404238,9698.5,10736.84,9376.8,10666.48,25187024648
2019/7/19,10666.48 ,-135.75,-1.272678522,10653.96,10716.98,10229.63,10530.73,20727426310
2019/7/20,10530.73 ,236.41,2.244953579,10525.82,11048.66,10451.28,10767.14,20206615155
2019/7/21,10767.14 ,-168.03,-1.560581547,10777.53,10841.89,10389.6,10599.11,17130580467
2019/7/22,10599.11 ,-256,-2.415297133,10596.95,10651.79,10154.92,10343.11,16334414913
2019/7/23,10343.11 ,-442.34,-4.276663402,10346.75,10346.75,9883.6,9900.77,17851916995
2019/7/24,9900.77 ,-88.84,-0.897303947,9887.73,9908.8,9614.31,9811.93,17398734322
2019/7/25,9811.93 ,99.91,1.018250232,9809.1,10154.25,9773.96,9911.84,15821952090
2019/7/26,9911.84 ,-41.54,-0.419094739,9913.13,9916.52,9717.98,9870.3,14495714483
2019/7/27,9870.30 ,-392.62,-3.977791962,9871.16,10167.32,9411.52,9477.68,16817809536
2019/7/28,9477.68 ,75.18,0.793232099,9491.63,9575.55,9252.3,9552.86,13738687093
2019/7/29,9552.86 ,-33.71,-0.352878614,9548.18,9681.65,9472.95,9519.15,13791445323
2019/7/30,9519.15 ,88.27,0.927288676,9522.33,9701.76,9437.34,9607.42,13829811132
2019/7/31,9607.42 ,478.21,4.977506969,9604.05,10085.63,9598.1,10085.63,16631520648
2019/8/1,10085.63 ,314.04,3.113737069,10077.44,10446.92,9922.02,10399.67,17165337858
2019/8/2,10399.67 ,118.5,1.139459233,10402.04,10657.95,10371.01,10518.17,17489094082
2019/8/3,10518.17 ,303.56,2.886053372,10519.28,10946.78,10503.5,10821.73,15352685061
2019/8/4,10821.73 ,148.45,1.371776971,10821.63,11009.21,10620.28,10970.18,16530894787
2019/8/5,10970.18 ,835.47,7.615827635,10960.74,11895.09,10960.74,11805.65,23875988832
2019/8/6,11805.65 ,-327.48,-2.773926044,11811.55,12273.82,11290.73,11478.17,23635107660
2019/8/7,11478.17 ,463.8,4.040713807,11476.19,12036.99,11433.7,11941.97,22194988641
2019/8/8,11941.97 ,24.44,0.204656351,11954.04,11979.42,11556.17,11966.41,19481591730
2019/8/9,11966.41 ,-103.47,-0.864670356,11953.47,11970.46,11709.75,11862.94,18339989960
2019/8/10,11862.94 ,-508.92,-4.289998938,11861.56,11915.66,11323.9,11354.02,18125355447
2019/8/11,11354.02 ,169.56,1.493391768,11349.74,11523.58,11248.29,11523.58,15774371518
2019/8/12,11523.58 ,-140.96,-1.223230975,11528.19,11528.19,11320.95,11382.62,13647198229
2019/8/13,11382.62 ,-486.79,-4.27660767,11385.05,11420.05,10830.33,10895.83,16681503537
2019/8/14,10895.83 ,-844.13,-7.747275793,10889.49,10889.56,10028.14,10051.7,19990838300
2019/8/15,10051.70 ,259.85,2.585134853,10038.42,10437.41,9675.32,10311.55,22899115082
2019/8/16,10311.55 ,62.79,0.608928823,10319.42,10524.35,9855.48,10374.34,20228207096
2019/8/17,10374.34 ,-142.6,-1.374545272,10358.72,10452.62,10086.7,10231.74,13778035685
2019/8/18,10231.74 ,114.07,1.114864138,10233.01,10487.07,10119.09,10345.81,12999813869
2019/8/19,10345.81 ,570.24,5.511796563,10350.28,10916.05,10313.2,10916.05,16038264603
2019/8/20,10916.05 ,-152.82,-1.399956944,10916.35,10947.04,10618.96,10763.23,15053082175
2019/8/21,10763.23 ,-625.18,-5.808479425,10764.57,10798.73,9962.72,10138.05,19473084768
2019/8/22,10138.05 ,-6.99,-0.068948171,10142.52,10233,9831.46,10131.06,17097508856
2019/8/23,10131.06 ,276.91,2.733277663,10136.31,10442.44,10078.19,10407.97,15627023886
2019/8/24,10407.97 ,-248.01,-2.382885423,10407.64,10418.02,9982.3,10159.96,15451030650
2019/8/25,10159.96 ,-21.44,-0.211024453,10160.74,10304.62,10008.79,10138.52,14153856610
2019/8/26,10138.52 ,232.3,2.291261446,10126.3,10512.33,10126.3,10370.82,18438654080
2019/8/27,10370.82 ,-185.32,-1.786936809,10372.83,10381.33,10087.3,10185.5,14762609503
2019/8/28,10185.50 ,-431.08,-4.232291002,10203.43,10279.37,9716.66,9754.42,17603790323
2019/8/29,9754.42 ,-244.22,-2.503685509,9756.79,9756.79,9421.63,9510.2,17045878501
2019/8/30,9510.20 ,87.97,0.925006835,9514.84,9656.12,9428.3,9598.17,13595263986
2019/8/31,9598.17 ,32.49,0.338502027,9597.54,9673.22,9531.8,9630.66,11454806419
2019/9/1,9630.66 ,127.31,1.321923939,9630.59,9796.76,9582.94,9757.97,11445355859
2019/9/2,9757.97 ,588.79,6.033939436,9757.47,10396.59,9730.65,10346.76,17248102294
2019/9/3,10346.76 ,276.78,2.675040302,10345.73,10736.1,10308.55,10623.54,19384917989
2019/9/4,10623.54 ,-29.05,-0.27344934,10621.18,10762.64,10434.71,10594.49,16742664769
2019/9/5,10594.49 ,-18.96,-0.17896095,10588.18,10627.27,10516.42,10575.53,14551239508
2019/9/6,10575.53 ,-222.23,-2.101360405,10578.2,10898.76,10292.3,10353.3,19536574783
2019/9/7,10353.30 ,163.95,1.58355307,10353.93,10558.67,10348.92,10517.25,15307366476
2019/9/8,10517.25 ,-75.97,-0.722337113,10518.11,10595.64,10409.09,10441.28,13670567493
2019/9/9,10441.28 ,-106.31,-1.018170186,10443.23,10450.31,10144.93,10334.97,17595943368
2019/9/10,10334.97 ,-218.99,-2.118922455,10336.41,10394.35,10020.57,10115.98,14906809639
2019/9/11,10115.98 ,62.39,0.616746969,10123.03,10215.95,9980.78,10178.37,15428063426
2019/9/12,10178.37 ,231.76,2.276985411,10176.82,10442.25,10099.24,10410.13,15323563925
2019/9/13,10410.13 ,-49.58,-0.476266867,10415.36,10441.49,10226.6,10360.55,14109864675
2019/9/14,10360.55 ,-2.5,-0.024129993,10345.4,10422.13,10291.69,10358.05,13468713124
2019/9/15,10358.05 ,-10.34,-0.099825739,10356.47,10387.03,10313.09,10347.71,12043433567
2019/9/16,10347.71 ,-70.92,-0.685369033,10347.22,10386.87,10189.74,10276.79,15160167779
2019/9/17,10276.79 ,-35.52,-0.345633218,10281.51,10296.77,10199.74,10241.27,15304603363
2019/9/18,10241.27 ,-43.02,-0.42006509,10247.8,10275.93,10191.47,10198.25,16169268880
2019/9/19,10198.25 ,68.16,0.668349962,10200.5,10295.67,9851.69,10266.41,19937691247
2019/9/20,10266.41 ,-84.77,-0.825702461,10266.32,10285.87,10132.19,10181.64,14734189639
2019/9/21,10181.64 ,-161.92,-1.590313545,10183.65,10188.1,10000.71,10019.72,13425266806
2019/9/22,10019.72 ,50.67,0.505702754,10024.12,10074.44,9922.53,10070.39,13199651698
2019/9/23,10070.39 ,-341.07,-3.386859893,10067.96,10074.24,9727.14,9729.32,15144925408
2019/9/24,9729.32 ,-1108.75,-11.39596601,9729.32,9804.32,8370.8,8620.57,25002886689
2019/9/25,8620.57 ,-133.58,-1.549549508,8603.43,8744.83,8325.4,8486.99,21744728353
2019/9/26,8486.99 ,-368.02,-4.336284124,8487.67,8515.69,7895.63,8118.97,19258205289
2019/9/27,8118.97 ,132.88,1.636660808,8113.1,8271.52,7965.92,8251.85,16408941156
2019/9/28,8251.85 ,-5.93,-0.071862673,8251.27,8285.62,8125.43,8245.92,14141152736
2019/9/29,8245.92 ,-141.73,-1.718789413,8246.04,8261.71,7990.5,8104.19,13034629109
2019/9/30,8104.19 ,189.68,2.340517683,8104.23,8314.23,7830.76,8293.87,17115474183
2019/10/1,8293.87 ,49.41,0.595741192,8299.72,8497.69,8232.68,8343.28,15305343413
2019/10/2,8343.28 ,49.76,0.596408127,8344.21,8393.04,8227.7,8393.04,13125712443
2019/10/3,8393.04 ,-133.05,-1.585242058,8390.77,8414.23,8146.44,8259.99,13668823409
2019/10/4,8259.99 ,-54.05,-0.654359146,8259.49,8260.06,8151.24,8205.94,13139456229
2019/10/5,8205.94 ,-54.44,-0.663421863,8210.15,8215.53,8071.12,8151.5,12200497197
2019/10/6,8151.50 ,-163.34,-2.003802981,8149.88,8161.41,7958.85,7988.16,13160830305
2019/10/7,7988.16 ,257.46,3.22302007,7989.12,8308.45,7905.77,8245.62,18009742607
2019/10/8,8245.62 ,-16.84,-0.204229639,8246.85,8332.72,8185.76,8228.78,15592264032
2019/10/9,8228.78 ,366.96,4.459470298,8229.84,8627.71,8169.3,8595.74,19384942333
2019/10/10,8595.74 ,-9.27,-0.107844118,8585.28,8625.27,8471.93,8586.47,17618660671
2019/10/11,8586.47 ,-264.71,-3.082873404,8585.26,8721.78,8316.18,8321.76,19604381101
2019/10/12,8321.76 ,14.8,0.177846994,8315.66,8415.24,8313.34,8336.56,14532641605
2019/10/13,8336.56 ,-15.55,-0.186527776,8336.9,8470.99,8276.61,8321.01,13808286059
2019/10/14,8321.01 ,53.68,0.645113995,8320.83,8390.21,8284.13,8374.69,15151387859
2019/10/15,8374.69 ,-169.32,-2.02180618,8373.46,8410.71,8182.71,8205.37,15220412632
2019/10/16,8205.37 ,-157.84,-1.923618313,8204.67,8216.81,7985.09,8047.53,16071646996
2019/10/17,8047.53 ,56.38,0.700587634,8047.81,8134.83,8000.94,8103.91,14313052244
2019/10/18,8103.91 ,-130.7,-1.612801722,8100.93,8138.41,7902.16,7973.21,15651592610
2019/10/19,7973.21 ,15.35,0.1925197,7973.8,8082.63,7944.78,7988.56,13797825640
2019/10/20,7988.56 ,233.52,2.923180148,7997.81,8281.82,7949.44,8222.08,15504249442
2019/10/21,8222.08 ,21.64,0.263193742,8225.12,8296.69,8196.42,8243.72,15868748866
2019/10/22,8243.72 ,-165.52,-2.007831416,8243.4,8296.65,8074.46,8078.2,16803377857
2019/10/23,8078.20 ,-563.53,-6.975935233,8076.23,8093,7469.32,7514.67,21942878958
2019/10/24,7514.67 ,-21.18,-0.281848704,7509.73,7532.87,7446.99,7493.49,16268708849
2019/10/25,7493.49 ,1167.21,15.57632025,7490.7,8691.54,7479.98,8660.7,28705065488
2019/10/26,8660.70 ,584.27,6.746221437,8667.58,10021.74,8662.62,9244.97,44496255609
2019/10/27,9244.97 ,306.74,3.317912335,9241.71,9749.53,9112.54,9551.71,32593129501
2019/10/28,9551.71 ,-295.56,-3.094315049,9565.1,9805.12,9256.15,9256.15,30948255332
2019/10/29,9256.15 ,171.54,1.853254323,9248.44,9516.18,9232.65,9427.69,28426779937
